ip,channel,strength,ssid,time,lat,lon,elat,elon,beacon
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268063,52.465292016,13.42369736,20.907,53.51,2768
58:90:43:69:22:15,1,-90,KabelBox-2210,1674268067,52.465292016,13.42369736,20.907,53.51,3724
D8:7D:7F:21:F2:A5,1,-94,KabelBox-F2A0,1674268067,52.465292016,13.42369736,20.907,53.51,3728
54:67:51:BA:CB:CE,1,-96,KabelBox-CCF0,1674268067,52.465292016,13.42369736,20.907,53.51,3908
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268067,52.465292016,13.42369736,20.907,53.51,2080
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268067,52.465292016,13.42369736,20.907,53.51,2088
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268067,52.465292016,13.42369736,20.907,53.51,444
54:67:51:A1:D5:6A,11,-90,KabelBox-CC34,1674268067,52.465292016,13.42369736,20.907,53.51,412
54:67:51:7E:34:E6,6,-96,KabelBox-2698,1674268067,52.465292016,13.42369736,20.907,53.51,2112
54:67:51:7F:8F:65,6,-98,KabelBox-F76C,1674268067,52.465292016,13.42369736,20.907,53.51,2136
54:67:51:4B:54:2C,6,-96,KabelBox-E730,1674268067,52.465292016,13.42369736,20.907,53.51,2068
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268067,52.465292016,13.42369736,20.907,53.51,2788
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268067,52.465292016,13.42369736,20.907,53.51,2760
58:90:43:69:22:15,1,-92,KabelBox-2210,1674268072,52.465292016,13.42369736,20.907,53.51,3644
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268072,52.465292016,13.42369736,20.907,53.51,4364
54:67:51:BA:CB:CE,1,-98,KabelBox-CCF0,1674268072,52.465292016,13.42369736,20.907,53.51,3928
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268072,52.465292016,13.42369736,20.907,53.51,2100
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268072,52.465292016,13.42369736,20.907,53.51,2108
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268072,52.465292016,13.42369736,20.907,53.51,364
54:67:51:A1:D5:6A,11,-88,KabelBox-CC34,1674268072,52.465292016,13.42369736,20.907,53.51,436
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268072,52.465292016,13.42369736,20.907,53.51,2236
54:67:51:7F:8F:65,6,-98,KabelBox-F76C,1674268072,52.465292016,13.42369736,20.907,53.51,2056
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268072,52.465292016,13.42369736,20.907,53.51,2908
DC:53:7C:F4:96:45,1,-100,KabelBox-0665,1674268072,52.465292016,13.42369736,20.907,53.51,4500
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268072,52.465292016,13.42369736,20.907,53.51,2912
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268072,52.465292016,13.42369736,20.907,53.51,2776
58:90:43:69:22:15,1,-92,KabelBox-2210,1674268077,52.465292016,13.42369736,20.907,53.51,3876
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268077,52.465292016,13.42369736,20.907,53.51,3468
54:67:51:BA:CB:CE,1,-96,KabelBox-CCF0,1674268077,52.465292016,13.42369736,20.907,53.51,3852
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268077,52.465292016,13.42369736,20.907,53.51,2028
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268077,52.465292016,13.42369736,20.907,53.51,2036
54:67:51:B8:B2:F0,11,-82,2Girls1Router,1674268077,52.465292016,13.42369736,20.907,53.51,288
54:67:51:A1:D5:6A,11,-88,KabelBox-CC34,1674268077,52.465292016,13.42369736,20.907,53.51,360
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268077,52.465292016,13.42369736,20.907,53.51,1956
54:67:51:7F:8F:65,6,-96,KabelBox-F76C,1674268077,52.465292016,13.42369736,20.907,53.51,2288
54:67:51:4B:54:2C,6,-100,KabelBox-E730,1674268077,52.465292016,13.42369736,20.907,53.51,2012
DC:53:7C:F4:96:45,1,-100,KabelBox-0665,1674268077,52.465292016,13.42369736,20.907,53.51,4120
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268077,52.465292016,13.42369736,20.907,53.51,2632
58:90:43:69:22:15,1,-94,KabelBox-2210,1674268082,52.465292016,13.42369736,20.907,53.51,3984
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268082,52.465292016,13.42369736,20.907,53.51,4164
54:67:51:BA:CB:CE,1,-96,KabelBox-CCF0,1674268082,52.465292016,13.42369736,20.907,53.51,3936
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268082,52.465292016,13.42369736,20.907,53.51,2212
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268082,52.465292016,13.42369736,20.907,53.51,2476
54:67:51:B8:B2:F0,11,-82,2Girls1Router,1674268082,52.465292016,13.42369736,20.907,53.51,472
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268082,52.465292016,13.42369736,20.907,53.51,440
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268082,52.465292016,13.42369736,20.907,53.51,2140
54:67:51:7F:8F:65,6,-96,KabelBox-F76C,1674268082,52.465292016,13.42369736,20.907,53.51,2576
54:67:51:4B:54:2C,6,-100,KabelBox-E730,1674268082,52.465292016,13.42369736,20.907,53.51,2096
DC:53:7C:F4:96:45,1,-102,KabelBox-0665,1674268082,52.465292016,13.42369736,20.907,53.51,4304
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268082,52.465292016,13.42369736,20.907,53.51,2716
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268082,52.465292016,13.42369736,20.907,53.51,2680
58:90:43:69:22:15,1,-90,KabelBox-2210,1674268086,52.465292016,13.42369736,20.907,53.51,3860
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268086,52.465292016,13.42369736,20.907,53.51,3672
54:67:51:BA:CB:CE,1,-96,KabelBox-CCF0,1674268086,52.465292016,13.42369736,20.907,53.51,3632
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268086,52.465292016,13.42369736,20.907,53.51,2116
D8:7D:7F:21:5D:75,6,-98,KabelBox-5D70,1674268086,52.465292016,13.42369736,20.907,53.51,2120
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268086,52.465292016,13.42369736,20.907,53.51,376
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268086,52.465292016,13.42369736,20.907,53.51,448
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268086,52.465292016,13.42369736,20.907,53.51,2040
54:67:51:7F:8F:65,6,-94,KabelBox-F76C,1674268086,52.465292016,13.42369736,20.907,53.51,2376
54:67:51:4B:54:2C,6,-100,KabelBox-E730,1674268086,52.465292016,13.42369736,20.907,53.51,3228
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268086,52.465292016,13.42369736,20.907,53.51,2720
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268086,52.465292016,13.42369736,20.907,53.51,2688
58:90:43:69:22:15,1,-94,KabelBox-2210,1674268091,52.465292016,13.42369736,20.907,53.51,3668
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268091,52.465292016,13.42369736,20.907,53.51,3572
54:67:51:BA:CB:CE,1,-94,KabelBox-CCF0,1674268091,52.465292016,13.42369736,20.907,53.51,3640
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268091,52.465292016,13.42369736,20.907,53.51,2020
D8:7D:7F:21:5D:75,6,-98,KabelBox-5D70,1674268091,52.465292016,13.42369736,20.907,53.51,2336
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268091,52.465292016,13.42369736,20.907,53.51,280
54:67:51:A1:D5:6A,11,-90,KabelBox-CC34,1674268091,52.465292016,13.42369736,20.907,53.51,352
54:67:51:7E:34:E6,6,-96,KabelBox-2698,1674268091,52.465292016,13.42369736,20.907,53.51,1948
54:67:51:7F:8F:65,6,-98,KabelBox-F76C,1674268091,52.465292016,13.42369736,20.907,53.51,1972
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268091,52.465292016,13.42369736,20.907,53.51,2212
DC:53:7C:F4:96:45,1,-102,KabelBox-0665,1674268091,52.465292016,13.42369736,20.907,53.51,4212
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268091,52.465292016,13.42369736,20.907,53.51,2728
DC:53:7C:F6:76:AE,11,-98,KabelBox-E8B5,1674268091,52.465292016,13.42369736,20.907,53.51,1036
58:90:43:69:22:15,1,-92,KabelBox-2210,1674268096,52.465292016,13.42369736,20.907,53.51,4076
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268096,52.465292016,13.42369736,20.907,53.51,4168
54:67:51:BA:CB:CE,1,-94,KabelBox-CCF0,1674268096,52.465292016,13.42369736,20.907,53.51,3744
54:67:51:A0:C3:4E,6,-78,KabelBox-C1A8,1674268096,52.465292016,13.42369736,20.907,53.51,2020
D8:7D:7F:21:5D:75,6,-96,KabelBox-5D70,1674268096,52.465292016,13.42369736,20.907,53.51,2232
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268096,52.465292016,13.42369736,20.907,53.51,284
54:67:51:A1:D5:6A,11,-88,KabelBox-CC34,1674268096,52.465292016,13.42369736,20.907,53.51,352
54:67:51:7E:34:E6,6,-96,KabelBox-2698,1674268096,52.465292016,13.42369736,20.907,53.51,1948
54:67:51:7F:8F:65,6,-96,KabelBox-F76C,1674268096,52.465292016,13.42369736,20.907,53.51,2284
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268096,52.465292016,13.42369736,20.907,53.51,2112
DC:53:7C:F4:96:45,1,-102,KabelBox-0665,1674268096,52.465292016,13.42369736,20.907,53.51,4112
54:67:51:E8:7A:93,6,-100,KabelBox-F080,1674268096,52.465292016,13.42369736,20.907,53.51,2728
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268096,52.465292016,13.42369736,20.907,53.51,2592
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1674268096,52.465292016,13.42369736,20.907,53.51,2620
90:5C:44:1E:80:36,11,-98,KabelBox-CED2,1674268096,52.465292016,13.42369736,20.907,53.51,1304
58:90:43:69:22:15,1,-92,KabelBox-2210,1674268101,52.465292016,13.42369736,20.907,53.51,3660
D8:7D:7F:21:F2:A5,1,-98,KabelBox-F2A0,1674268101,52.465292016,13.42369736,20.907,53.51,3664
54:67:51:BA:CB:CE,1,-94,KabelBox-CCF0,1674268101,52.465292016,13.42369736,20.907,53.51,3640
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268101,52.465292016,13.42369736,20.907,53.51,2120
D8:7D:7F:21:5D:75,6,-96,KabelBox-5D70,1674268101,52.465292016,13.42369736,20.907,53.51,2124
54:67:51:B8:B2:F0,11,-82,2Girls1Router,1674268101,52.465292016,13.42369736,20.907,53.51,380
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268101,52.465292016,13.42369736,20.907,53.51,452
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268101,52.465292016,13.42369736,20.907,53.51,2148
54:67:51:7F:8F:65,6,-94,KabelBox-F76C,1674268101,52.465292016,13.42369736,20.907,53.51,2380
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268101,52.465292016,13.42369736,20.907,53.51,2108
DC:53:7C:F4:96:45,1,-102,KabelBox-0665,1674268101,52.465292016,13.42369736,20.907,53.51,4312
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268101,52.465292016,13.42369736,20.907,53.51,2828
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268101,52.465292016,13.42369736,20.907,53.51,2692
DC:53:7C:F6:76:AE,11,-100,KabelBox-E8B5,1674268101,52.465292016,13.42369736,20.907,53.51,1340
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1674268101,52.465292016,13.42369736,20.907,53.51,2756
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268105,52.465292016,13.42369736,20.907,53.51,3972
54:67:51:BA:CB:CE,1,-96,KabelBox-CCF0,1674268105,52.465292016,13.42369736,20.907,53.51,3756
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268105,52.465292016,13.42369736,20.907,53.51,2032
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268105,52.465292016,13.42369736,20.907,53.51,2036
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268105,52.465292016,13.42369736,20.907,53.51,396
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268105,52.465292016,13.42369736,20.907,53.51,364
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268105,52.465292016,13.42369736,20.907,53.51,2060
54:67:51:7F:8F:65,6,-94,KabelBox-F76C,1674268105,52.465292016,13.42369736,20.907,53.51,2496
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268105,52.465292016,13.42369736,20.907,53.51,2120
DC:53:7C:F4:96:45,1,-102,KabelBox-0665,1674268105,52.465292016,13.42369736,20.907,53.51,4428
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268105,52.465292016,13.42369736,20.907,53.51,2636
DC:53:7C:F6:76:AE,11,-100,KabelBox-E8B5,1674268105,52.465292016,13.42369736,20.907,53.51,1148
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1674268105,52.465292016,13.42369736,20.907,53.51,4564
58:90:43:69:22:15,1,-92,KabelBox-2210,1674268110,52.465292016,13.42369736,20.907,53.51,3800
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268110,52.465292016,13.42369736,20.907,53.51,3584
54:67:51:BA:CB:CE,1,-96,KabelBox-CCF0,1674268110,52.465292016,13.42369736,20.907,53.51,3472
