ip,channel,strength,ssid,time,lat,lon
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710590,n/a,n/a
C8:84:A1:93:04:46,11,-72,_Free_Wifi_Berlin,1668710590,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710590,n/a,n/a
CC:DB:93:1A:35:86,6,-83,_Free_Wifi_Berlin,1668710590,n/a,n/a
C8:84:A1:93:04:41,11,-72, ,1668710590,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710590,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710590,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710590,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710590,n/a,n/a
C8:84:A1:7C:DA:A6,1,-73,_Free_Wifi_Berlin,1668710590,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710590,n/a,n/a
5C:E1:76:66:02:E1,1,-86, ,1668710590,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710590,n/a,n/a
B8:D7:AF:19:A9:9B,1,-82,sandlab_11mc_test,1668710592,n/a,n/a
24:F5:A2:2D:EB:91,1,-59,LAA-Coexistence Experiment,1668710592,n/a,n/a
64:66:B3:6F:90:2B,11,-84,TKN-VRULab,1668710592,n/a,n/a
C8:84:A1:93:04:42,11,-72,eduroam,1668710592,n/a,n/a
C8:84:A1:7D:60:A2,11,-73,eduroam,1668710592,n/a,n/a
C8:84:A1:93:04:43,11,-72,TUB-Guest,1668710592,n/a,n/a
64:70:02:3E:AA:D1,13,-60,Schwammerl2,1668710592,n/a,n/a
C8:84:A1:7D:60:A3,11,-72,TUB-Guest,1668710592,n/a,n/a
C8:84:A1:7D:60:A6,11,-71,_Free_Wifi_Berlin,1668710592,n/a,n/a
C8:84:A1:7D:60:A1,11,-72, ,1668710592,n/a,n/a
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710592,n/a,n/a
C8:84:A1:93:04:46,11,-72,_Free_Wifi_Berlin,1668710592,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710592,n/a,n/a
CC:DB:93:1A:35:86,6,-83,_Free_Wifi_Berlin,1668710592,n/a,n/a
C8:84:A1:93:04:41,11,-72, ,1668710592,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710592,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710592,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710592,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710592,n/a,n/a
C8:84:A1:7C:DA:A6,1,-73,_Free_Wifi_Berlin,1668710592,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710592,n/a,n/a
5C:E1:76:66:02:E1,1,-86, ,1668710592,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710592,n/a,n/a
B8:D7:AF:19:A9:9B,1,-79,sandlab_11mc_test,1668710594,n/a,n/a
24:F5:A2:2D:EB:91,1,-58,LAA-Coexistence Experiment,1668710594,n/a,n/a
64:66:B3:6F:90:2B,11,-84,TKN-VRULab,1668710594,n/a,n/a
C8:84:A1:93:04:42,11,-71,eduroam,1668710594,n/a,n/a
C8:84:A1:7D:60:A2,11,-75,eduroam,1668710594,n/a,n/a
C8:84:A1:93:04:43,11,-72,TUB-Guest,1668710594,n/a,n/a
64:70:02:3E:AA:D1,13,-61,Schwammerl2,1668710594,n/a,n/a
C8:84:A1:7D:60:A3,11,-75,TUB-Guest,1668710594,n/a,n/a
C8:84:A1:7D:60:A6,11,-75,_Free_Wifi_Berlin,1668710594,n/a,n/a
C8:84:A1:7D:60:A1,11,-72, ,1668710594,n/a,n/a
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710594,n/a,n/a
C8:84:A1:93:04:46,11,-72,_Free_Wifi_Berlin,1668710594,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710594,n/a,n/a
CC:DB:93:1A:35:86,6,-83,_Free_Wifi_Berlin,1668710594,n/a,n/a
C8:84:A1:93:04:41,11,-72, ,1668710594,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710594,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710594,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710594,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710594,n/a,n/a
C8:84:A1:7C:DA:A6,1,-73,_Free_Wifi_Berlin,1668710594,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710594,n/a,n/a
5C:E1:76:66:02:E1,1,-86, ,1668710594,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710594,n/a,n/a
B8:D7:AF:19:A9:9B,1,-82,sandlab_11mc_test,1668710597,n/a,n/a
24:F5:A2:2D:EB:91,1,-58,LAA-Coexistence Experiment,1668710597,n/a,n/a
64:66:B3:6F:90:2B,11,-84,TKN-VRULab,1668710597,n/a,n/a
C8:84:A1:93:04:42,11,-71,eduroam,1668710597,n/a,n/a
C8:84:A1:7D:60:A2,11,-75,eduroam,1668710597,n/a,n/a
C8:84:A1:93:04:43,11,-75,TUB-Guest,1668710597,n/a,n/a
64:70:02:3E:AA:D1,13,-62,Schwammerl2,1668710597,n/a,n/a
C8:84:A1:7D:60:A3,11,-75,TUB-Guest,1668710597,n/a,n/a
C8:84:A1:7D:60:A6,11,-72,_Free_Wifi_Berlin,1668710597,n/a,n/a
C8:84:A1:7D:60:A1,11,-72, ,1668710597,n/a,n/a
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710597,n/a,n/a
C8:84:A1:93:04:46,11,-75,_Free_Wifi_Berlin,1668710597,n/a,n/a
CC:DB:93:1A:35:86,6,-82,_Free_Wifi_Berlin,1668710597,n/a,n/a
C8:84:A1:93:04:41,11,-72, ,1668710597,n/a,n/a
CC:DB:93:1A:35:81,6,-82, ,1668710597,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710597,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710597,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710597,n/a,n/a
C8:84:A1:7C:DA:A6,1,-73,_Free_Wifi_Berlin,1668710597,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710597,n/a,n/a
5C:E1:76:66:02:E1,1,-83, ,1668710597,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710597,n/a,n/a
5C:E1:76:66:02:E6,1,-84,_Free_Wifi_Berlin,1668710597,n/a,n/a
B8:D7:AF:19:A9:9B,1,-86,sandlab_11mc_test,1668710599,n/a,n/a
24:F5:A2:2D:EB:91,1,-58,LAA-Coexistence Experiment,1668710599,n/a,n/a
64:66:B3:6F:90:2B,11,-84,TKN-VRULab,1668710599,n/a,n/a
C8:84:A1:93:04:42,11,-69,eduroam,1668710599,n/a,n/a
C8:84:A1:7D:60:A2,11,-73,eduroam,1668710599,n/a,n/a
C8:84:A1:93:04:43,11,-69,TUB-Guest,1668710599,n/a,n/a
64:70:02:3E:AA:D1,13,-68,Schwammerl2,1668710599,n/a,n/a
C8:84:A1:7D:60:A3,11,-72,TUB-Guest,1668710599,n/a,n/a
C8:84:A1:7D:60:A6,11,-72,_Free_Wifi_Berlin,1668710599,n/a,n/a
C8:84:A1:7D:60:A1,11,-73, ,1668710599,n/a,n/a
CC:DB:93:1A:35:83,6,-83,TUB-Guest,1668710599,n/a,n/a
C8:84:A1:93:04:46,11,-69,_Free_Wifi_Berlin,1668710599,n/a,n/a
CC:DB:93:1A:35:86,6,-82,_Free_Wifi_Berlin,1668710599,n/a,n/a
C8:84:A1:93:04:41,11,-69, ,1668710599,n/a,n/a
CC:DB:93:1A:35:81,6,-83, ,1668710599,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710599,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710599,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710599,n/a,n/a
C8:84:A1:7C:DA:A6,1,-73,_Free_Wifi_Berlin,1668710599,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710599,n/a,n/a
5C:E1:76:66:02:E1,1,-83, ,1668710599,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710599,n/a,n/a
5C:E1:76:66:02:E6,1,-84,_Free_Wifi_Berlin,1668710599,n/a,n/a
CC:DB:93:1A:35:82,6,-82,eduroam,1668710599,n/a,n/a
B8:D7:AF:19:A9:9B,1,-86,sandlab_11mc_test,1668710602,n/a,n/a
24:F5:A2:2D:EB:91,1,-59,LAA-Coexistence Experiment,1668710602,n/a,n/a
64:66:B3:6F:90:2B,11,-91,TKN-VRULab,1668710602,n/a,n/a
C8:84:A1:93:04:42,11,-69,eduroam,1668710602,n/a,n/a
C8:84:A1:7D:60:A2,11,-73,eduroam,1668710602,n/a,n/a
C8:84:A1:93:04:43,11,-69,TUB-Guest,1668710602,n/a,n/a
64:70:02:3E:AA:D1,13,-63,Schwammerl2,1668710602,n/a,n/a
C8:84:A1:7D:60:A3,11,-72,TUB-Guest,1668710602,n/a,n/a
C8:84:A1:7D:60:A6,11,-72,_Free_Wifi_Berlin,1668710602,n/a,n/a
C8:84:A1:7D:60:A1,11,-73, ,1668710602,n/a,n/a
CC:DB:93:1A:35:83,6,-84,TUB-Guest,1668710602,n/a,n/a
C8:84:A1:93:04:46,11,-69,_Free_Wifi_Berlin,1668710602,n/a,n/a
CC:DB:93:1A:35:86,6,-82,_Free_Wifi_Berlin,1668710602,n/a,n/a
C8:84:A1:93:04:41,11,-69, ,1668710602,n/a,n/a
CC:DB:93:1A:35:81,6,-83, ,1668710602,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710602,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710602,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710602,n/a,n/a
C8:84:A1:7C:DA:A6,1,-73,_Free_Wifi_Berlin,1668710602,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710602,n/a,n/a
5C:E1:76:66:02:E1,1,-83, ,1668710602,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710602,n/a,n/a
5C:E1:76:66:02:E6,1,-84,_Free_Wifi_Berlin,1668710602,n/a,n/a
CC:DB:93:1A:35:82,6,-84,eduroam,1668710602,n/a,n/a
B8:D7:AF:19:A9:9B,1,-76,sandlab_11mc_test,1668710604,n/a,n/a
24:F5:A2:2D:EB:91,1,-57,LAA-Coexistence Experiment,1668710604,n/a,n/a
64:66:B3:6F:90:2B,11,-86,TKN-VRULab,1668710604,n/a,n/a
C8:84:A1:93:04:42,11,-68,eduroam,1668710604,n/a,n/a
C8:84:A1:7D:60:A2,11,-70,eduroam,1668710604,n/a,n/a
C8:84:A1:93:04:43,11,-69,TUB-Guest,1668710604,n/a,n/a
64:70:02:3E:AA:D1,13,-64,Schwammerl2,1668710604,n/a,n/a
C8:84:A1:7D:60:A3,11,-69,TUB-Guest,1668710604,n/a,n/a
C8:84:A1:7D:60:A6,11,-70,_Free_Wifi_Berlin,1668710604,n/a,n/a
C8:84:A1:7D:60:A1,11,-69, ,1668710604,n/a,n/a
CC:DB:93:1A:35:83,6,-83,TUB-Guest,1668710604,n/a,n/a
C8:84:A1:93:04:46,11,-69,_Free_Wifi_Berlin,1668710604,n/a,n/a
CC:DB:93:1A:35:86,6,-86,_Free_Wifi_Berlin,1668710604,n/a,n/a
C8:84:A1:93:04:41,11,-69, ,1668710604,n/a,n/a
CC:DB:93:1A:35:81,6,-83, ,1668710604,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710604,n/a,n/a
